type,id,lat,lon
node,26059391,24.7910527,120.992354
node,311080383,24.7893821,121.0000754
node,311080391,24.7876796,120.9953199
node,318919601,24.782939,120.9973695
node,334549768,24.7903921,120.995609
node,334549793,24.7906967,120.9955737
node,429592649,24.7818913,121.0017476
node,429592655,24.7828435,120.9973347
node,1076646363,24.7852523,121.0011701
node,1076646456,24.7850243,121.0025842
node,1084310039,24.7849322,120.9917048
node,1101582632,24.789007,121.0012925
node,1372433690,24.7853795,120.9953224
node,1372433695,24.7857307,120.9991403
node,1372433714,24.7863051,121.0012843
node,1372433718,24.7870634,121.001701
node,1372433722,24.7885796,120.9938441
node,1463796815,24.7840449,120.9976668
node,1463796817,24.7846139,120.9957611
node,1463796822,24.7840984,120.9965042
node,1463796823,24.7886433,120.9970833
node,1463798924,24.7850609,120.9979421
node,1463798926,24.7856821,120.9979506
node,1463798927,24.785867,120.9979585
node,1463798931,24.7885789,120.9995253
node,1463798938,24.7875385,120.9981851
node,1463798940,24.7890967,121.0004522
node,1463798944,24.7878035,120.9985781
node,1463798947,24.7880072,120.9988739
node,1463798951,24.7839902,120.9985261
node,1463798983,24.7880537,121.0012771
node,1463798986,24.7878005,121.001263
node,1463798999,24.7871707,121.0007973
node,1463799009,24.7866128,121.0005076
node,1463799022,24.7859669,121.000226
node,1463799026,24.7856862,121.0002013
node,1463799031,24.784923,121.0002465
node,1463799042,24.7839093,120.9995188
node,1463799051,24.7839595,120.9985592
node,1463799056,24.7840412,120.9979296
node,1463799067,24.7840473,120.9982668
node,1481061227,24.7858568,120.9983748
node,1481062729,24.7863836,120.9970339
node,1481062733,24.7863979,120.9964402
node,1481062735,24.7864153,120.9952974
node,1481062736,24.7865523,120.9952969
node,1481062737,24.7865406,120.9960848
node,1481062738,24.7865289,120.9964475
node,1481062740,24.7872074,120.9964559
node,1481062741,24.7872326,120.9953098
node,1481062750,24.785448,120.9970048
node,1481062756,24.7854495,120.9968487
node,1481062757,24.787473,120.9973374
node,1481062758,24.7842321,120.9967608
node,1481066319,24.7888356,120.996984
node,1481069052,24.7870182,120.9988083
node,1481069053,24.7870779,120.9985691
node,1481069622,24.7845356,120.9954614
node,1481072408,24.7894366,120.9973163
node,1481073547,24.7882137,120.9972586
node,1489363233,24.7865087,120.9991707
node,1489363246,24.7865902,120.999168
node,1513860750,24.7900127,120.9981849
node,1513884389,24.7893683,121.0010735
node,1513884390,24.789491,120.9967768
node,1514959422,24.7826305,120.9986051
node,1514959442,24.783477,121.000479
node,1514959457,24.7825299,120.9985762
node,1523225236,24.7852659,121.0010241
node,1523225244,24.7868858,120.9987215
node,1523225307,24.7859589,120.9986919
node,1523225317,24.7861413,120.9986965
node,1523225427,24.7841538,121.0005059
node,1523225502,24.7893794,121.0006683
node,1523225504,24.7833284,120.9968389
node,1705782111,24.7896118,120.9971349
node,1705782217,24.7876143,120.9965051
node,1705800177,24.7834512,120.9964581
node,1705800181,24.7901812,120.9955054
node,1705800196,24.790171,120.9963312
node,1705800199,24.7894968,120.9963422
node,1705800203,24.790181,120.9957797
node,1722806908,24.7875018,120.9970476
node,1722806914,24.7865115,120.9970335
node,1908159124,24.7901967,120.9943389
node,1919128612,24.7828853,120.997223
node,1919128613,24.7829813,120.9972506
node,1946526319,24.7843612,120.9931947
node,1946526324,24.7848559,120.9917019
node,1983226948,24.7834937,120.9965681
node,1984416738,24.7837856,120.9946567
node,1986413815,24.7848587,120.9918028
node,1986413819,24.7849315,120.9917987
node,1986435965,24.7833335,120.994699
node,1986435993,24.7836956,120.9949597
node,1986435998,24.7838547,120.992874
node,1986436000,24.7840272,120.9926868
node,2129174836,24.7897519,120.9945504
node,2130657878,24.7856054,120.994297
node,2130657898,24.7857223,120.993744
node,2130657900,24.785764,120.994549
node,2130657912,24.7856971,120.9934291
node,2130657913,24.787387,120.9924233
node,2130657944,24.7857618,120.9937483
node,2130657956,24.7866055,120.9922614
node,2130657966,24.787202,120.9927076
node,2130657969,24.7848343,120.9939272
node,2130657979,24.7881341,120.9931414
node,2130657986,24.7877114,120.9942845
node,2130657997,24.7872701,120.9925466
node,2130657999,24.7858225,120.9945543
node,2130658008,24.787387,120.9942686
node,2130671116,24.7839932,120.9946137
node,2130677332,24.7865822,120.9987245
node,2130677336,24.7866222,120.9989489
node,2130677338,24.7866858,120.998728
node,2130677342,24.7866358,120.9988278
node,2130677345,24.7865171,120.9989537
node,2130770592,24.7848864,120.9985469
node,2130770599,24.785059,120.9981964
node,2130770610,24.7855097,120.9989466
node,2130770621,24.785869,120.996569
node,2130770630,24.7833207,120.998399
node,2130770637,24.7854285,120.9991663
node,2130770641,24.7849104,120.9989683
node,2130770650,24.7849198,120.9990383
node,2130770652,24.7848857,120.9986995
node,2130770653,24.7842599,120.9993817
node,2130770675,24.784935,120.9991773
node,2130770699,24.7844567,120.9993403
node,2130770703,24.784216,120.9979346
node,2130770708,24.7859671,120.9970206
node,2130770714,24.7849561,120.998195
node,2130770734,24.7854129,120.9981898
node,2130770737,24.7858642,120.9990401
node,2130770739,24.7853295,120.9989091
node,2130770741,24.7858716,120.9986822
node,2130770752,24.7856851,120.9982519
node,2130770764,24.7854168,120.9979405
node,2130770801,24.7856937,120.9987047
node,2130770805,24.784957,120.9986998
node,2130770809,24.785064,120.9993476
node,2130800868,24.7844738,120.9942288
node,2130800889,24.7838797,120.9985059
node,2130800898,24.7847889,120.9942502
node,2130800912,24.7844804,120.9943897
node,2130855985,24.7893421,120.9966619
node,2130855990,24.7878871,120.9993547
node,2130855993,24.7863429,120.999487
node,2130855998,24.7887432,120.9962776
node,2130856002,24.787621,120.9994049
node,2130856004,24.7884173,120.9961615
node,2130856006,24.7873976,120.9996252
node,2130856009,24.786418,120.9989895
node,2130856013,24.7883484,120.9966866
node,2130856014,24.7884273,120.998173
node,2130856022,24.7873346,120.999023
node,2130856026,24.787105,120.9992168
node,2130856031,24.786514,120.9990436
node,2130856035,24.7873381,120.9994155
node,2130856036,24.7896059,120.9953695
node,2130856038,24.7886758,120.9965658
node,2130856040,24.7894932,120.9966618
node,2130856046,24.7892204,120.9979981
node,2130856047,24.7871987,120.9991375
node,2130856051,24.7876404,120.9988382
node,2130856055,24.7883073,120.997174
node,2130856056,24.7871999,120.9992864
node,2130856059,24.7882576,120.9979725
node,2130856061,24.7882965,120.9978108
node,2130856063,24.7854908,120.9997066
node,2130856064,24.7856742,120.9997813
node,2130856065,24.7893429,120.9967289
node,2130856071,24.7868045,120.9994884
node,2130856080,24.7886378,120.997603
node,2130856085,24.7859574,120.9990308
node,2130856091,24.7862236,121.0014765
node,2130856097,24.7871983,120.9990137
node,2130856114,24.7873001,120.9995558
node,2130856116,24.7874775,120.9996739
node,2130856119,24.7887427,120.9964098
node,2130856120,24.787928,120.9988354
node,2130856121,24.78842,120.9953384
node,2130856125,24.789499,120.9953641
node,2130856134,24.7884783,120.9976017
node,2130856141,24.7882015,120.9981794
node,2130856143,24.7857318,120.9994951
node,2130856149,24.7872186,120.999495
node,2130856162,24.7861752,121.0002915
node,2130982935,24.7862764,120.9979605
node,2130982939,24.7882094,121.0010564
node,2130982941,24.7877625,121.000173
